Method,Resolution,Cores/Workers,Chunk Size,Time (s),Speedup
NumPy Vectorized,1024x1024,1,N/A,0.9810047149658203,1.0
Multiprocessing,1024x1024,1,1 total chunks,4.3801186084747314,0.22396761427139322
Multiprocessing,1024x1024,1,4 total chunks,4.390478849411011,0.2234391164638963
Multiprocessing,1024x1024,1,8 total chunks,4.735166788101196,0.20717426837655356
Multiprocessing,1024x1024,1,1 total chunks,5.055870056152344,0.19403281810458395
Multiprocessing,1024x1024,1,4 total chunks,4.373957395553589,0.22428309794765608
Multiprocessing,1024x1024,1,8 total chunks,4.363059043884277,0.22484332783460717
Multiprocessing,1024x1024,2,2 total chunks,2.2506895065307617,0.4358685247873004
Multiprocessing,1024x1024,2,8 total chunks,2.2887587547302246,0.42861866194432147
Multiprocessing,1024x1024,2,16 total chunks,2.222524642944336,0.4413920529880892
Dask Local,1024x1024,2,"(128, 128)",0.468062162399292,2.0958855335308004
Dask Local,1024x1024,2,"(256, 256)",0.2916271686553955,3.3639002822985793
Dask Local,1024x1024,2,"(512, 512)",0.32281064987182617,3.038947802234325
NumPy Vectorized,2048x2048,1,N/A,6.208815574645996,1.0
Multiprocessing,2048x2048,1,1 total chunks,17.43678641319275,0.35607567974500043
Multiprocessing,2048x2048,1,4 total chunks,17.57229256629944,0.35332985444104265
Multiprocessing,2048x2048,1,8 total chunks,17.909396409988403,0.3466792198079453
Multiprocessing,2048x2048,1,1 total chunks,17.444863080978394,0.3559108229067153
Multiprocessing,2048x2048,1,4 total chunks,17.420747756958008,0.35640350582345914
Multiprocessing,2048x2048,1,8 total chunks,17.451273918151855,0.35578007678785717
Multiprocessing,2048x2048,2,2 total chunks,8.937110185623169,0.6947229524633042
Multiprocessing,2048x2048,2,8 total chunks,8.816934823989868,0.7041920688528309
Multiprocessing,2048x2048,2,16 total chunks,8.762417078018188,0.7085733901233396
Dask Local,2048x2048,2,"(128, 128)",1.3017566204071045,4.769567119777185
Dask Local,2048x2048,2,"(256, 256)",0.9242169857025146,6.717919785824494
Dask Local,2048x2048,2,"(512, 512)",0.9045264720916748,6.864161266931639
NumPy Vectorized,4096x4096,1,N/A,29.413771152496338,1.0
Multiprocessing,4096x4096,1,1 total chunks,69.70715403556824,0.42196201465186617
Multiprocessing,4096x4096,1,4 total chunks,69.47327160835266,0.42338255377280903
Multiprocessing,4096x4096,1,8 total chunks,69.46219396591187,0.423450073675055
Multiprocessing,4096x4096,1,1 total chunks,70.03243780136108,0.42000210296727214
Multiprocessing,4096x4096,1,4 total chunks,69.5625147819519,0.4228393876313365
Multiprocessing,4096x4096,1,8 total chunks,69.80668926239014,0.42136035189887805
Multiprocessing,4096x4096,2,2 total chunks,39.16045022010803,0.7511091161406773
Multiprocessing,4096x4096,2,8 total chunks,37.62755846977234,0.7817082040049329
Multiprocessing,4096x4096,2,16 total chunks,39.03582000732422,0.7535071928033659
Dask Local,4096x4096,2,"(128, 128)",5.143610239028931,5.718506999093579
Dask Local,4096x4096,2,"(256, 256)",3.3826942443847656,8.695367960412877
Dask Local,4096x4096,2,"(512, 512)",3.904414176940918,7.533465923316012
