size,block_size,numpy_time,cuda_time,speedup
256,8,0.03503727912902832,0.0002385919988155365,146.85018484679705
256,16,0.03503727912902832,0.0002672640085220337,131.09613719701352
256,32,0.03503727912902832,0.00032790398597717284,106.85225135222191
512,8,0.11844372749328613,0.0005097919702529907,232.3373736830475
512,16,0.11844372749328613,0.0004945920109748841,239.47763988306886
512,32,0.11844372749328613,0.0005560320019721985,213.01602618765872
1024,8,0.4385199546813965,0.0013137919902801514,333.7818756132674
1024,16,0.4385199546813965,0.0013064639568328858,335.6540778548926
1024,32,0.4385199546813965,0.0014202879667282104,308.7542561467837
2048,8,1.902930736541748,0.004649983882904053,409.23383488230746
2048,16,1.902930736541748,0.0046919679641723635,405.5719798328619
2048,32,1.902930736541748,0.0048261117935180665,394.2989342057031
